#         t          x          y          z         vx         vy         vz
      0.000    -98.450   -120.030   -127.810    -27.700    174.120     92.490
      0.500   -103.752    -22.548    -70.428      6.493    215.808    137.038
      1.000    -91.957     95.778      9.228     40.685    257.495    181.586
      1.500    -63.067    234.947    111.158     74.878    299.183    226.134
      2.000    -17.080    394.960    235.361    109.070    340.870    270.681
      2.500     46.004    575.817    381.839    143.263    382.558    315.229
      3.000    126.183    777.518    550.591    177.456    424.245    359.777
      3.500    223.459   1000.062    741.616    211.648    465.933    404.325
      4.000    337.832   1243.451    954.916    245.841    507.620    448.873
      4.500    469.300   1507.683   1190.489    280.033    549.308    493.421
      5.000    617.865   1792.758   1448.337    314.226    590.995    537.969
      5.500    783.526   2098.678   1728.458    348.419    632.683    582.516
      6.000    966.284   2425.441   2030.853    382.611    674.370    627.064
      6.500   1166.137   2773.048   2355.522    416.804    716.058    671.612
      7.000   1383.088   3141.499   2702.465    450.996    757.746    716.160
      7.500   1617.134   3530.794   3071.682    485.189    799.433    760.708
      8.000   1868.277   3940.932   3463.173    519.382    841.121    805.256
      8.500   2136.516   4371.915   3876.938    553.574    882.808    849.804
      9.000   2421.851   4823.741   4312.977    587.767    924.496    894.351
      9.500   2724.282   5296.410   4771.289    621.959    966.183    938.899
     10.000   3043.810   5789.924   5251.876    656.152   1007.871    983.447
